"record_id","disease_name","disease_id","id_source"
"BiomarkerKG594659457","AIDS","EFO_0000765","EFO"
"BiomarkerKG1498962895","(HER2)-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1064188334","LUNG CANCER","MONDO_0008903","MONDO"
"BiomarkerKG-1932775397","NON-SMALL CELL LUNG CANCER THAT HAS SPREAD TO OTHER PARTS OF THE BODY","EFO_0003060","EFO"
"BiomarkerKG-955586545","ADVANCED OR METASTATIC BREAST CANCER","MONDO_0007254","MONDO"
"BiomarkerKG-1386474016","LAMBERT-EATON MYASTHENIA SYNDROME IN ADULTS","MONDO_0023370","MONDO"
"BiomarkerKG-1029442076","LAMBERT-EATON SYNDROME","MONDO_0023370","MONDO"
"BiomarkerKG1233009142","DEPRESSION","EFO_0003761","EFO"
"BiomarkerKG979588562","DEPRESSION","EFO_0003761","EFO"
"BiomarkerKG2008815520","ATTENTION DEFICIT HYPERACTIVITY DISORDER","EFO_0001073","EFO"
"BiomarkerKG445115987","CHRONIC OBSTRUCTIVE PULMONARY DISEASE","EFO_0000341","EFO"
"BiomarkerKG-493957746","SCHIZOPHRENIA AND BIPOLAR DISORDER","EFO_0000289","EFO"
"BiomarkerKG1476585244","BLOOD AND BONE MARROW CANCERS","MONDO_0021138","MONDO"
"BiomarkerKG-1745727063","ANESTHESIOLOGY","OTAR_0000018","OTAR"
"BiomarkerKG1850603683","BREAST BLADDER AND URINARY TRACT CANCERS","MONDO_0007254","MONDO"
"BiomarkerKG875467658","METASTATIC CHEMOTHERAPY-NAIVE NON-SQUAMOUS NSCLC","EFO_0000707","EFO"
"BiomarkerKG1616970176","NON-SMALL CELL LUNG CANCER.","EFO_0003060","EFO"
"BiomarkerKG-292801829","HYPERACTIVE ATTENTION DEFICIT","EFO_0003888","EFO"
"BiomarkerKG1600346418","GASTROINTESTINAL","EFO_0010282","EFO"
"BiomarkerKG719702881","THROMBOTIC","Orphanet_183589","Orphanet"
"BiomarkerKG-1188758294","MERCKLE CELL CARCINOMA","EFO_0000707","EFO"
"BiomarkerKG1048595055","AUTOIMMUNE DISEASES","EFO_1000870","EFO"
"BiomarkerKG2059480590","T CELL LYMPHOMA","EFO_0002913","EFO"
"BiomarkerKG736314554","MELANOMA","EFO_0000756","EFO"
"BiomarkerKG-378943012","HEPATITIS C INFECTION","EFO_0004220","EFO"
"BiomarkerKG-771556728","CLASSICAL HODGKIN LYMPHOMA","EFO_0000574","EFO"
"BiomarkerKG1173989673","CLASSICAL HODGKIN LYMPHOMA","EFO_0000574","EFO"
"BiomarkerKG829815143","SCHIZOPHRENIA","EFO_0000249","EFO"
"BiomarkerKG1437695799","NON-SMALL CELL LUNG CANCER THAT HAS SPREAD TO OTHER PARTS OF THE BODY","EFO_0003060","EFO"
"BiomarkerKG282615554","EPILEPSY","EFO_0000474","EFO"
"BiomarkerKG816316872","NON-SMALL-CELL LUNG CANCER","EFO_0003060","EFO"
"BiomarkerKG1533469514","COLORECTAL CANCER","EFO_0005842","EFO"
"BiomarkerKG205847830","BRIVARACETAM","EFO_0000474","EFO"
"BiomarkerKG541509081","INBORN ERRORS OF METABOLISM","Orphanet_68367","Orphanet"
"BiomarkerKG1069940068","SCHIZOPHRENIA","EFO_0000289","EFO"
"BiomarkerKG1900108140","SKELETAL MUSCLE DISEAS","Orphanet_206634","Orphanet"
"BiomarkerKG-1557071629","HEART FAILURE","EFO_0003777","EFO"
"BiomarkerKG900270885","ARTHRITIS","EFO_0000685","EFO"
"BiomarkerKG570155103","TREAT OR PREVENT BACTERIAL INFECTIONS","EFO_0000771","EFO"
"BiomarkerKG-413895656","LUNG CANCER","MONDO_0008903","MONDO"
"BiomarkerKG-2121880163","TYPE 2 DISEASE OF CEROID LIPOFUSCINOSIS (CLN2)","EFO_1000051","EFO"
"BiomarkerKG1667727299","PEOPLE WITH SICKLE CELL DISEASE","EFO_1000636","EFO"
"BiomarkerKG-1229781644","SKIN CANCER (MELANOMA)","MONDO_0002898","MONDO"
"BiomarkerKG-210842937","LEUKEMIA","EFO_0000565","EFO"
"BiomarkerKG779147928","HIV INFECTION","EFO_0000764","EFO"
"BiomarkerKG-1440571084","MODERATE TO SEVERE PAIN CAUSED BY ENDOMETRIOSIS.","EFO_0003843","EFO"
